depth	perm	poro	log perm
2920.5	0.83	12.7	-0.08092
2922.5	9.52	12.9	0.97864
2924.5	75	19	187.506
2926.5	0.01	5.3	-2
2928.5	401	25.7	260.314
2930.5	584	27.6	276.641
2932.5	426	26.6	262.941
2934.5	697	27.8	284.323
2936.5	748	29	28.739
2938.5	441	26.2	264.444
2940.5	333	26.5	252.244
2942.5	73.9	21.5	186.864
2944.5	45.8	19.1	166.087
2946.5	17.6	16.5	124.551
2948.5	50	18	169.897
2950.5	27.3	16.7	143.616
2952.5	15.4	15	118.752
2954.5	22.4	15.9	135.025
2956.5	21.5	15.4	133.244
2958.5	5.53	14.3	0.74273
2960.5	35.5	17.7	155.023
2962.5	14.3	14.4	115.534
2964.5	11.9	15.7	107.555
2966.5	9.46	15.2	0.97589
2968.5	18.5	15.9	126.717
2970.5	4.2	13.3	0.62325
2972.5	25	17.5	139.794
2974.5	0.21	12.2	-0.67778
2976.5	0.06	7.5	-122.18
